电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
纵横四海,8.8,269657,香港浪漫主义警匪动作片的巅峰之作！那段发哥和红姑的轮椅舞堪称香港电影史上的经典镜头~~,有新武侠的潇洒。“其实爱一个人并不是要跟她一辈子的。我喜欢花，难道你摘下来让我闻；我喜欢风，难道你让风停下来；我喜欢云，难道你就让云罩着我；我喜欢海，难道我就去跳海？”,发哥在轮椅上和红姑共舞，忘不了啊……,你们都知道我的性格，我喜欢西逛逛，东逛逛，我喜欢流浪，其实爱一个人并不是要跟她一辈子的，我喜欢花，难道我摘下来你让我闻闻，我喜欢风，难道你让风停下来，我喜欢云，难道你就让云罩着我，我喜欢海，难道我去跳海？,看过多遍，完全被三个人特有的自身魅力迷住，张国荣用红酒越红外线、三个人的舞蹈，至今都是经典。还有，发哥说，伊拉克不打仗。那是91年。
神偷奶爸,8.6,664849,这个动画片再次证明了，不怕讲老故事，只需要有颗不老的心。打动人的是里面的小情趣，小可爱，小孤独，坚硬外表下谁都渴望一颗被温暖的心。真的远比toy3得我的心。,虽然很俗套，依然百看不厌。那黄黄的小豆子们怎么那么像雷曼兔啊。片中还有WII的镜头。真是又可爱又感动，三个小姑娘太亲切了，还有斯蒂夫·卡瑞尔的精彩配音,造型趣味，3D效果也佳，只是故事实在老套，人物形象也很脸谱化。,比玩具总动员3还要好看，同意的点有用,剧情搞笑轻松，有时又有温暖，看三个小女孩怎么融化坏蛋格鲁的心，还有萌萌的小黄人！
初恋这件小事,8.4,724839,结局真多余。。。。。。。。,一场强大的暗恋背后其实还有另外一场相反的暗恋,你有几个最佳损友，她们陪你分享你心里的小秘密。你在初中小心翼翼的喜欢一个男孩子，你收集关于他的一切消息，你在你们共同上学需要走的小巷口左顾右盼，你记住他的每一句话，你为他做了让自己可以变得更好更美的所有事情，那些好长好长的岁月里你只是想让他看你一眼而已。,那英语老师是凤姐么--什么时候去泰国发展了。。。,要不是这狗血的结尾我会打五星的！最让我感动的反而不是初恋了，是这群丑小鸭之间的友谊，让我想起我初中时候的那群小姐妹，“朱古力跳跳队”——谢十三、吴玲、杨秀丽、徐星云、拉链、吴美，还有我，一共七个，傻妞！十二万分怀念那个时候的我们……向青春致敬！
恋恋笔记本,8.5,445360,飞屋环游记前传,1.先入为主是王道。2.等人不要等過7年。,我会永远记住你。爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,俗套的好看。“爱情没有那么多借口，如果最终没能在一起，只能说明爱的不够。”,为了那一池子的天鹅
天书奇谭,9.2,128455,这是中国动画中的又一部里程碑似的、绝对顶级的、足以彪炳史册的伟大作品，从故事情节的编排到人物造型与性格的设计再到动画技术的运用都堪称无以伦比，它虽然没有《大闹天宫》《哪吒闹海》在国际上那么知名，但我相信不少人还是会在自己心中将其列为中国动画的第一，因为《天书奇谭》绝对有这个实力。,"看了很多遍.喜欢.那个年轻的女狐狸精真美,声音也动人.",可以打10星,“你是蛋生的，所以叫蛋生~”蛋生的师傅好帅啊~~~~~~~~,普罗米修斯
色，戒,8.4,446859,男人是政治的动物，女人是情感的动物。李安用床戏“将易先生的内心活动外在化，外显他的恐惧、他的愤怒和挫折。你可以形容一个人如何不具备相信别人的能力，但更绝的是让他在高潮时都不敢闭上眼睛”“如果说断背山是一段发生在天堂里的爱情，那色戒就是来自地狱的爱情。”——李安,表面上是王佳芝的自私害了一群战友，但她的上级早就有机会杀了易先生，却为了得到更多的情报迟迟不动手，打着“爱国”的旗号逼良为娼，强迫早在崩溃边缘的王佳芝继续和易先生发生关系。在拿出实际行动证明对她好的易先生，和惨无人道、毫无人性的党之间，王佳芝只是选择了前者而已，她真的有错吗？党在本片的形象并非伟光正，而是为了达到目的不择手段，甚至放弃人性和道义，这也是在华语片中罕见的。,王力宏是最大的败笔,再看《色戒》觉得很残酷。王佳芝是因为爱上了邝裕民才加入了这个所谓的爱国计划。但这个口才甚好的爱国青年却不像他所标榜的那样勇敢。甚至连担起对心爱的女人在肉体上负责的能力都没有。而后她却发现易先生跟她想的确实不一样。易是个好情人嘛。至少她愿意为了他放弃这个计划。而这个计划的败露则意味着让她自己死。最后那些革命者面对死亡哭了。这个电影蕴涵的太多。很喜欢。,汤唯太美，沉静自持。整个电影紧张饱满，眼角眉梢没有一出不是戏。
怪兽电力公司,8.7,430133,其实我觉得。。。这片是一对gaycouple养孩子的故事。。。,口碑巨好但我一直都特无感的一部。。。。。。可能是因为我特烦小孩吧。。。看到片子里那个孩子一直闹闹闹，我都快疯了。。。这里面最喜欢的就是布西密配的兰道~~~~~~~大眼怪也萌死了~不过放在2001年确实不错~~~,"""不要给它起名字，起了名字就有感情了""，不管是什么物种，它们的情感在皮克斯手笔下永远都是那么细腻，看到毛怪对小阿布告别时说：“Goahead,Gogrowup...”眼珠各种打滚。《WALL·E》之外最爱的一部Pixar动画长片。Wescare,becausewecare.",买了张蓝光碟，再次重看，画质优秀了，似乎离怪物们更近了，原来毛怪10年前的毛发就这么逼真了。再次感叹皮克斯的创意和想象力，最棒的地方也就是这个创意了，皮克斯的动画片过程可能都很相似，唯独创意个个都很独特。★★★★,片子本身很平庸，而且大毛怪这种只顾自己当好人的性格很让我觉得讨厌，那个小女孩也很烦，反派也不够强力，不过大眼怪这个角色倒是很有意思，另外CDA的No.1婆婆也很不错…剧情方面，开头电力公司到处去吓小朋友的故事很有意思，中段二怪照看小孩比较索然无味，最后的开门战还算精彩，3-4星间给个4星吧
可可西里,8.8,197832,见过磕长头的人吗？他们的手和脸脏得很，可他们的心特别干净。我卖过皮子，可我没办法。,在中国最傻逼的问题就是：“县里不给你们解决经费吗？”。最耐人寻味的回答的是：“我们没有编制”。众所周知的是，有编制的从来不管这些事情，因为组织没安排。,分不是给你陆川的，是给那些人,“你看过磕长头的人吗？他们的脸和手特别脏，但他们的心特别干净。”,不是路川会做的更好
大佛普拉斯,8.7,248190,年三十晚，我妈在旁边和我一起看完了那场两分钟的车震戏。年度最尬观影体验........,「雖然現在已經是太空時代了，人類可以搭乘太空船到達月球，但卻沒辦法看穿每個人心裡的宇宙。」,人生好孤独啊，我们作为朋友，你却一点不了解我；我们作为爱人，你却要杀掉我；我们作为亲人，你却要欺骗我。就让我做一个追逐海浪的人好了，没有故乡，在世界上仅剩的一张摇篮上，抱着你的遗像，用沉默祝福你，用愤怒度化你，用夏天的雨纪念你。,看到“我要你干我”的时候家里人推门而入，真的百口莫辩,生而平等是不存在的，死而平等也是不存在的，唯有人类永生的孤独是众生平等的。
冰川时代,8.6,433683,很久很久以前的冰河世纪，一只剑齿虎攻和一只树赖受相遇了……最后他们和宠物长毛象幸福的生活在了一起。THEEND~,2009/4/4夜，土豆网，台湾配音，象和虎的配音缺乏感情，情节老套，笑点贫乏，价值观扭曲，俩素食动物不让肉食的虎吃同样肉食的人，虎不吃肉，难道去吃面包？人不是要照样猎杀象和虎？2星。,还好是由动物出演，如果是真人的话，你一定大叫：“哇噻，这是一部gay片来的嘛”！三个雄性动物千里迢迢护送一个小baby回家……？其实我早就过了为卡通片的桥段而感动的年纪，但是在三个动物与小baby告别的时候，我还是情不自禁的哭了，只不过，眼泪还没擦干就又马上嫌弃自己太恶心……,这只松鼠才是角儿！,我纯粹是喜欢那抱着松果的小倒霉蛋儿松鼠，哈哈……
我是山姆,8.9,196123,孩子和“傻子”演技都很强大，更重要的是，它表现的一种富于人文精神的理念。,怎么说呢，西恩潘的表演五星，范宁五星，菲佛五星，也被催泪的不得了，可就是不知道问题在哪里，不喜欢这个（也确实显得很真实的）故事。,哭到只剩半条人命~,哭啊一直在哭……,allineedislove~很浓的beatles情结，小女孩好萌
风之谷,8.9,269828,在此我们可以见到比卡丘的渊源，可以看到Spike飞船的渊源，可以看到虫师的渊源，也可以看到诸多动画人因此崛起的渊源。,"当女主角在黄金之海上复活的时候,我那发达的泪腺又西里哗啦了..",细节：解开那个女孩衣服的时候看到了什么？,潇洒、乐观、仁爱的女英雄，用爱拯救了自己的领土。宫崎骏的电影真的是太有启发性了，小时候也是完全没看懂。宫崎骏不管哪部电影都是在宣导爱，正义，和平，友善，人性的温暖。但，王虫真的好恶心！,宫崎骏的主角为什么都是女生==
2001太空漫游,8.8,186819,现在这个年代没人敢如此玩观众了。,既为举世公认之经典，必有高深奥妙之内涵。若觉难以理解，不妨从自身找找原因。对超出自我认知水平的事物极端排斥已属不智，再加以肆意的诋毁和谩骂只会将无知与庸俗进一步放大。更有甚者分明是哗众取宠，名为鄙视随波逐流，实则借机标新立异，以此彰显自己是如何的与众不同。实乃跳梁小丑，贻笑大方。,"首先你得忍者看完第一遍,觉得不知道在说什么;看了第二遍,觉得好像有点意思;看第三遍,知道原来这个电影讲述的是多个主题啊,看第四遍,觉得好像看懂了点什么;看了第五遍,啊,真他妈太牛了!这可是1968年的东西!",这部片子有三个特征：1）看不懂2）无数的符号3）必须熟读尼采4）六十年代能够做出这样的特效真的是惊天动地,不好意思我只能把经典电影给两星因为不喜欢
再次出发之纽约遇见你,8.5,284277,电影院里坐我前面的男子，每当音乐响起时，都会打开QQ音乐的曲目识别，我很想告诉他，你每一次搜到的歌，都收录在同一本原声带里,KeiraKnightley的衣服真好看，穿出一种闲闲的、不用力过猛的精致。平胸果然是王道，轻盈、削薄、纤细…像未发育起来的小女生，又像清秀版的小男生。只要不用那著名的下巴颏演戏，KK也不是很讨厌嘛。MarkRuffalo这只卷毛，每次出来我都想让女猪脚跟他滚床单否则不能尽兴究竟是什么心理。,我知道它不完美。我知道爱上和音乐生活的人是什么感觉，也记得他开始给其他女人写歌时，是什么感觉。KK比我想的好太多。Mark和Adam是两个阶段，别做谁的fucking缪斯，记住这一刻就够了。分享歌单踩街曾是我年轻时的恋爱法则，现在都不再重要，想到这，又哭了出来。Mark演的特别好，我爱每一个瞬间。,电影给4星，歌曲加一星。原声带真的是要进入本年度最佳电影原声候选了。,#SIFF#对不起Mark叔太adorable了我满脑子都是“啊啊啊啊啊”，在天台弹贝斯的地方啊啊啊啊啊啊啊站在镜头边缘我也只看见他啊！歌非常非常好（反正歌一好我就会冲动给高分别理我）！情节不像once那么散，城市环境音的想法很有趣+乐队成员间的dynamics酷毙了！
